Feature,Importance
ApplicantIncome,14.621825611592556
Credit_History,13.678569532347396
LoanAmount,12.452727679009003
TotalIncome,10.031498194649487
DebtToIncomeRatio,8.866502133449094
Incometoloanratio,7.39134618183037
CoapplicantIncome,6.940851659591857
Dependents,6.4437651330399355
Property_Area_Semiurban,4.912470104222306
Gender_Male,2.4309994933050736
Education,2.2370839677189767
Loan_Term_Years,2.2348749133392007
Married_Yes,2.2208541671056765
Loan_Amount_Term,1.9806264460929408
Property_Area_Urban,1.9028462849731738
Self_Employed_Yes,1.6531584977329619
