iter	Passed	Remaining
0	3	1063
1	6	986
2	10	1084
3	15	1134
4	21	1282
5	26	1321
6	34	1431
7	39	1433
8	46	1490
9	50	1461
10	53	1396
11	55	1339
12	60	1329
13	64	1307
14	68	1296
15	72	1278
16	75	1260
17	78	1231
18	82	1213
19	85	1192
20	126	1685
21	152	1928
22	156	1881
23	159	1834
24	162	1790
25	173	1833
26	178	1809
27	183	1778
28	186	1739
29	190	1711
30	195	1692
31	198	1662
32	201	1628
33	204	1600
34	207	1571
35	210	1543
36	213	1520
37	216	1493
38	219	1471
39	223	1451
40	226	1432
41	230	1413
42	233	1394
43	237	1380
44	240	1360
45	243	1346
46	246	1328
47	249	1310
48	253	1297
49	256	1282
50	260	1273
51	263	1258
52	267	1244
53	270	1230
54	273	1217
55	277	1209
56	280	1194
57	283	1184
58	287	1172
59	290	1161
60	293	1149
61	296	1136
62	299	1125
63	302	1114
64	305	1104
65	308	1094
66	311	1083
67	314	1074
68	317	1064
69	321	1056
70	325	1048
71	328	1039
72	332	1033
73	334	1022
74	339	1019
75	343	1011
76	347	1005
77	350	997
78	355	994
79	358	985
80	361	977
81	364	969
82	367	960
83	370	952
84	373	943
85	375	934
86	378	927
87	381	918
88	383	909
89	386	901
90	388	892
91	390	883
92	393	876
93	396	868
94	398	859
95	401	852
96	404	845
97	406	838
98	410	833
99	413	826
100	415	819
101	419	813
102	421	806
103	424	800
104	427	793
105	429	786
106	432	779
107	434	772
108	436	765
109	439	758
110	442	753
111	444	746
112	447	740
113	450	735
114	453	729
115	456	724
116	459	718
117	462	712
118	465	707
119	468	702
120	470	695
121	472	689
122	475	683
123	477	677
124	480	673
125	483	667
126	486	662
127	488	657
128	491	651
129	493	645
130	496	640
131	499	635
132	501	629
133	504	625
134	507	620
135	510	615
136	513	610
137	515	605
138	518	600
139	520	595
140	523	590
141	526	586
142	529	581
143	531	576
144	534	571
145	537	567
146	540	562
147	543	557
148	545	553
149	547	547
150	551	543
151	553	539
152	556	534
153	559	530
154	561	525
155	564	520
156	567	516
157	570	512
158	572	507
159	575	503
160	578	499
161	580	494
162	583	490
163	585	485
164	587	480
165	590	476
166	592	472
167	595	467
168	597	463
169	600	458
170	602	454
171	604	450
172	607	446
173	609	441
174	612	437
175	615	433
176	617	429
177	619	424
178	622	420
179	625	416
180	627	412
181	630	409
182	633	405
183	636	401
184	639	397
185	641	393
186	643	389
187	646	385
188	648	381
189	651	376
190	654	373
191	657	369
192	659	365
193	662	362
194	665	358
195	668	354
196	671	350
197	673	346
198	676	343
199	678	339
200	680	335
201	684	331
202	687	328
203	689	324
204	692	320
205	695	317
206	697	313
207	700	310
208	703	306
209	705	302
210	708	298
211	711	295
212	713	291
213	716	287
214	718	284
215	721	280
216	723	276
217	726	273
218	728	269
219	731	266
220	734	262
221	736	258
222	739	255
223	741	251
224	744	248
225	746	244
226	749	241
227	751	237
228	754	233
229	757	230
230	759	226
231	762	223
232	765	219
233	767	216
234	770	213
235	773	209
236	775	206
237	778	202
238	781	199
239	783	195
240	787	192
241	789	189
242	792	185
243	795	182
244	798	179
245	801	175
246	804	172
247	806	169
248	809	165
249	812	162
250	814	159
251	817	155
252	820	152
253	823	149
254	826	145
255	828	142
256	831	139
257	834	135
258	836	132
259	839	129
260	841	125
261	844	122
262	846	119
263	848	115
264	851	112
265	853	109
266	855	105
267	858	102
268	861	99
269	864	96
270	867	92
271	869	89
272	872	86
273	874	83
274	877	79
275	879	76
276	882	73
277	885	70
278	888	66
279	891	63
280	893	60
281	896	57
282	899	54
283	902	50
284	905	47
285	908	44
286	910	41
287	913	38
288	916	34
289	918	31
290	921	28
291	924	25
292	927	22
293	930	18
294	933	15
295	944	12
296	946	9
297	948	6
298	951	3
299	954	0
